Date : 2026-05-21 17:52:44
Directory : d:\CMS\CMS-15\frontend
Total : 391 files,  321630 codes, 31226 comments, 4597 blanks, all 357453 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\@tiptap_extension-italic.js                                                         | JavaScript         |        102 |          2 |          2 |        106 |
| d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\@tiptap_extension-link.js                                                           | JavaScript         |      1,440 |        182 |          3 |      1,625 |
| d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\@tiptap_extension-list-item.js                                                      | JavaScript         |         10 |          2 |          2 |         14 |
| d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\@tiptap_extension-ordered-list.js                                                   | JavaScript         |         10 |          2 |          2 |         14 |
| d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\@tiptap_extension-paragraph.js                                                      | JavaScript         |         72 |          2 |          2 |         76 |
| d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\@tiptap_extension-placeholder.js                                                    | JavaScript         |         10 |          2 |          2 |         14 |
| d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\@tiptap_extension-strike.js                                                         | JavaScript         |         85 |          2 |          2 |         89 |
| d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\@tiptap_extension-text-align.js                                                     | JavaScript         |         82 |          2 |          2 |         86 |
| d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\@tiptap_extension-text.js                                                           | JavaScript         |         20 |          2 |          2 |         24 |
| d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\@tiptap_extension-underline.js                                                      | JavaScript         |         84 |          2 |          2 |         88 |
| d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\_metadata.json                                                                      | JSON               |        463 |          0 |          0 |        463 |
| d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\chart__js.js                                                                        | JavaScript         |     15,067 |         94 |          4 |     15,165 |
| d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\chunk-2O4WY5GE.js                                                                   | JavaScript         |         60 |          2 |          2 |         64 |
| d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\chunk-42FJBLFI.js                                                                   | JavaScript         |         11 |          3 |          2 |         16 |
| d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\chunk-4S3KYZTJ.js                                                                   | JavaScript         |      4,383 |        189 |        189 |      4,761 |
| d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\chunk-7RX35FCP.js                                                                   | JavaScript         |         81 |          8 |          3 |         92 |
| d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\chunk-A7YERVP2.js                                                                   | JavaScript         |        225 |         75 |          5 |        305 |
| d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\chunk-AOLWQF35.js                                                                   | JavaScript         |         75 |          6 |          4 |         85 |
| d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\chunk-BORHIWVB.js                                                                   | JavaScript         |      1,115 |        116 |          4 |      1,235 |
| d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\chunk-DEDJJ4G4.js                                                                   | JavaScript         |        108 |         23 |          3 |        134 |
| d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\chunk-DKZICT2Q.js                                                                   | JavaScript         |     25,185 |      1,847 |          7 |     27,039 |
| d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\chunk-EKWZA6I2.js                                                                   | JavaScript         |      2,476 |        421 |          4 |      2,901 |
| d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\chunk-FGPW22PQ.js                                                                   | JavaScript         |         65 |         26 |          4 |         95 |
| d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\chunk-GP4QTX5M.js                                                                   | JavaScript         |      1,323 |        243 |          3 |      1,569 |
| d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\chunk-HAOVT6NK.js                                                                   | JavaScript         |         72 |          3 |          3 |         78 |
| d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\chunk-JDPQSXCP.js                                                                   | JavaScript         |     16,660 |      1,999 |         13 |     18,672 |
| d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\chunk-JQOUQGC6.js                                                                   | JavaScript         |        168 |         12 |          4 |        184 |
| d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\chunk-JXBCBRYI.js                                                                   | JavaScript         |         27 |          4 |          4 |         35 |
| d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\chunk-K3PN73RT.js                                                                   | JavaScript         |         43 |          2 |          3 |         48 |
| d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\chunk-LQTHSVMV.js                                                                   | JavaScript         |         38 |          2 |          3 |         43 |
| d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\chunk-MH2EZCSF.js                                                                   | JavaScript         |      1,238 |         35 |          7 |      1,280 |
| d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\chunk-N4NUAF3H.js                                                                   | JavaScript         |         69 |          7 |          4 |         80 |
| d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\chunk-NRN3JK2U.js                                                                   | JavaScript         |        558 |         63 |          5 |        626 |
| d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\chunk-O4ZHFB2A.js                                                                   | JavaScript         |        989 |         48 |          4 |      1,041 |
| d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\chunk-OIBNGD5S.js                                                                   | JavaScript         |          0 |          0 |          1 |          1 |
| d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\chunk-OUU4C372.js                                                                   | JavaScript         |        468 |         41 |          3 |        512 |
| d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\chunk-PEBH6BBU.js                                                                   | JavaScript         |         24 |          3 |          4 |         31 |
